,Unnamed: 0,Words,text
22,76,1207,"effect of al on communications, content creation, business, and the possible repercussions. abstract the effect of alon communications, content creation, and business is both significant and far reaching. content creators are using al to rapidly generate art [1], posters, code and much more. businesses are using al to automate processes, make better decisions, and improve their products and services [2]. in the future, al will transform how businesses operate and compete. although there are negatives to al as well some argue that using al to push products and more importantly, manipulating social media recommendations to do so, will lead to people being only exposed to information and opinions that agree with their own. this also leads to concerns that al will make it easier to create fake news, spread misinformation and exploit people on mass scales. as al gets better at understanding and responding to natural language, it could also get better at manipulating it, making it possible for al powered bots to convincingly impersonate real people and spread disinformation or propaganda. thesis statement al will be used to streamline not only robotics and automation, but supplement tasks that are often thought of creative and or personal in nature, including managing communications autonomously, creating art, and creating all types of personalised content. it is already having a massive effect on our online lives, and its presence will only further encroach on our real lives. although in the end, with all the benefits this will is bringing, this may come at a cost. use of al in graphical content creation and art there are many ways in which artificial intelligence can be used to create or improve art and content. for example, al can be used to generate new ideas or concepts for artworks, to create or improve digital artwork, or to help select and curate content for publication. additionally, al can be used to analyse and interpret data from artworks or other sources of information, in order to generate new insights or to improve understanding of existing artworks. depending on the al used, al created art or content could potentially be more realistic or lifelike than those created by humans, depending on the sophistication of the al used, although be formulated in a fraction of the time that of which an artist or graphic designer would take. there is definitely an odd stigma around al created art, although as a tool for rapidly creating and formulating all kinds of graphical content, there is nothing like it. . effect of al on communications the effect of artificial intelligence (al) on email and communications is both positive and negative. as al begins to learn and understand the preferences and needs of individual users, it will be able to take on more and more of the burden of communication related content creation. al has the potential to accurately reply to messages and filter summarize necessary information [3] that is being sent to us. this will free up time to focus on higher level tasks and concurrently allow us to communicate effectively with far more people during our day to day lives. additionally, al created content will likely be more accurate and tailored to users than content created by humans, due to its ability to accurately reference previous content that was created, liked or selected by the user. additionally, al will be able to provide you with insights into your work schedule and habits, and suggest ways to improve your efficiency [4]. on the negative side (who knew, giving robots agency over our lives might cause issues), al can also be used to create more effective advertisement, spam email and phishing scams [5]. it can also be used to gather information about you without your knowledge or consent and learn your preferences, personally tailoring these scams and advertisements to more likely empty your pockets, and possibly impact your life in a major way. some argue that using al to push products and more importantly, manipulating social media recommendations to do so, will lead to the development of echo chambers online, where people are only exposed to information and opinions that agree with their own. this could limit the free flow of ideas and make it harder for people to understand different points of view. another concern is that al will make it easier for people to create fake news and spread misinformation. al can be used to generate realistic looking audio [6], images and videos, which could be used to create misleading or outright false content. some also worry that as al gets better at understanding and responding to natural language, it will also get better at manipulating it. this could make it possible for al powered bots to convincingly impersonate real people and spread disinformation or propaganda en masse. . effect of al on business the impact of artificial intelligence (al) on business is already making itself extremely apparent. businesses are using al to automate processes, make better decisions, and improve their products and services. in the future, al will transform how businesses operate and compete. alis already having a major impact on businesses across a wide range of industries. in the automotive industry, al is being used to develop autonomous vehicles. in healthcare, al is being used to diagnose diseases and to personalize treatments. in the financial sector, al is being used to detect fraud and to trade stocks. al is also changing how businesses are organized. in many cases, al is eliminating the need for human employees altogether. for example, chatbots can handle customer service tasks, and robots using al to filter out specific information, can assemble products. this is leading to a new wave of "" �automation companies""� that are built around al technologies. for many businesses, this allows an opportunity for an extreme rise in productivity if utilized correctly. with this newfound productivity, the business can then redirect more resources into other parts of the business such as research and development or marketing to attract more customers, in the end possibly multiplying profits by extreme margins. the implementation of al can also lead to businesses discovering new ways of doing things which can lead to an increase in innovation. businesses can use al to automatically target a larger audience with precision and without fear of human error, and use al to create personalized advertisements for said audiences. despite all of these advantages, there are some disadvantages that need to be taken into consideration when implementing al into society and the economy. the first and most concerning disadvantage is job losses. with the implementation of al, there will be a large number of jobs lost since al will be taking over tasks that were once done by people. conclusion al is already beginning to have a significant effect on communications, content creation, and business. in the future, al will have an even greater impact on these areas, as well as on other aspects of our lives. although there are some negatives to al, with proper preparation and countermeasures, the positives outweigh the negatives massively. al if used correctly, will help usher humanity into a new era of productivity not only in robotics and automation, but our personal lives and communications. . references [1] https. impakter.com art made by ai wins fine arts competition #:~:text=an artwork made by artificial,used to compete in competitions. [6] https. https://protect-au.mimecast.com/s/o7smClx1OYUKzA30sqe0yu?domain=forbes.com sites thomasbrewster 2021 10 14 huge bank fraud uses deep fake voice tech to steal millions ?sh=3f0d43c57559"
19,39,1114,"engg3000. topic. grid control technology for micro power grids phuong tran outline abstract 1. introduction . types of micro power grids 2 3. conclusion 4 . reference list . abstract research on the effective use and exploitation of renewable energy sources for electricity generation has practical implications for reducing climate change as well as reducing dependence on fossil fuel sources. grid control technology for micro power grids with distributed generation such as photovoltaic cells, fuel cells, wind turbines, and microturbines are potential clean energy sources for development in developed and developing countries. however, to build a grid connected contro! model and technology for the micro power grid with distributed power generation sources, and at the same time to integrate them into the power system for efficiency is still the research goal of the researchers. the development of a micro power grid with distributed power sources is a goal towards the development of a smart grid and flexible grid control of renewable energy sources. . 1. introduction today, the electricity industry is making breakthroughs and developing synchronously from stages such as production, transmission, and distribution, as well as offering efficient and saving for the methods of operation and use of electricity. especially, with global warming, the depletion of fossil energy resources, and the growth boom of developing countries. besides, the population is increasing, it is estimated that by 2050 about 9.5 billion people, the average temperature of the earth can increase to 600 degrees celsius. this leads to an urgent need for new ways of providing and using energy sources that minimize co2 emissions. to be able to achieve the above goals, we must build a power system and operating metho. as well as in business that allows to indicate which power plants must improve efficiency, and the types of power sources. new energy is encouraged to develop such as solar, wind, and biogas in appropriate locations. the new system will be operated to reach these purposes above by building, developing and analysing the micro power grids model with distributed capacity. this is also part of the development of a smart grid control system. currently, several countries have deployed and operated micro power grids with distributed power sources such as germany, the united states and singapore. . types of micro power grids firstly, micro power grids are the system consisting of energy sources with distributed capacity and power generation such as solar cells, fuel cells, wind turbines, micro turbines etc. in addition, there are measurement systems and loads. control technologies for microgrids can operate independently or integrate them into the distribution grid. then, through the control system as shown in figure 1, with the aim to develop smart grid and flexible grid connection control. figure 1. micro power grids system. . one of the control models for micro power grids is the photovoltaic cell model incorporating battery power. photovoltaic cell consists of semiconductors that are subjected to optical action to convert photon energies, and solar radiation will be greatest when solar cells are converted into electrical energy. the efficiency of solar panels will be greatest when the solar cells provide us with maximum capacity. the current technology for controlling photovoltaic cells is to use maximum point power tracking (mppt) method and ensure that photovoltaic cells will always work at mpp point regardless of the load connected to the battery. the photovoltaic cell model combined with the evil source is built on matlab as shown in figure photovoltaic dc dc converter figure 2. the photovoltaic cell model incorporating battery power. next is the fuel cell model. a fuel cell is a type of device that uses fuels rich in hydrogen and oxygen to generate electricity through electrochemical reactions. the fuel cell consists of two positive and negative terminals and is surrounded by an electrolyte. fuel is sent to the cathode and oxygen is sent to the anode to create a reaction. in this research, the fuel cell used is a fuel cell with a proton exchange membrane fuel cell (pemfc) that is supplied with hydrogen gas directly from electrolysis. the fuel cell model is built on matlab as shown in figure 3. (pam) +o dc dc converter figure 3. fuel cell model on matlab. . 2h,0 ) > 0,19) + 4 haq + 4eâ° (\,\ 2h,0 20â° > hi) + 2 oh ing figure 4. reactions in fuel cell model. next is the wind turbine model, which uses the permanent magnetic synchronous generator (pmsg). due to the wind speed always changes with time, in order for the turbine to operate optimally with a certain wind speed, the rotor system must have the function of self adjusting according to the change of wind speed and direction. permanent magnet synchronous generators perfectly meet this, due to the magnetic flux is always available thanks to the permanent magnet system on the rotor surface. in addition, to control the wind turbine, we use arectifier (ac dc) on the generator side off the grid when needed, and an inverter at the bottom (dc ac) to keep the average dc voltage stable. time (udc). the wind turbine model is built on matlab as shown in figure 5. wind speed wind turbine and mdf figure 5. wind turbine model. the final model is the micro turbine which uses a gas turbine combined with a permanent magnetic synchronous generator (pmsg) to generate ac voltage. this ac voltage through the rectifier (ac dc) on the pmsg generator side is used to synchronize with the grid and separate the generator from the grid when needed, the grid side (dc ac) inverter to keep stabilize the intermediate dc circuit voltage (udc). . micro compressor power grids gas turbine figure 6. micro turbine. rt, le. resistance and inductance of the line o.. grid voltage angle pmt, qmt. active and reactive power of microturbine ax. control angle w. generator rotation speed . conclusion grid connected control technology for small grids with distributed power sources has maximized the system s output capacity regardless of the load connected to the system. grid connected via ac dc, dc dc and dc ac converters, the converters are capable of transmitting power in both directions, with variable control angle, low harmonic capacity etc. on the other hand, using grid connected control technology for micro power grids brings high economic efficiency compared to independent power sources. micro power grids control technology aims to develop smart grid and flexible grid control for renewable energy sources. . 4. reference list improving reliability and economic performance of microgrids (2017) school of electrical and electronic engineering, ntu and ieee singapore section introduction hess in recent years, the renewable power generation has been seen as an effective way to resolve the global energy crisis and reduce the carbon footprint. (http. eeeweba.ntu.edu.sg power projects eirp04 course improving%20reliability%20and %20economic%20performance%200f%20microgrids.pdf)"
21,24,1158,"james webb space telescope abstract. the hubble and spitzer space telescopes have been scientifically succeeded by the james webb space telescope. a huge (6.6m) cold (sdk) telescope launched into orbit around the second earth sun lagrange point. it is a collaboration between nasa and the european and canadian space agencies. jwst s science goals include the formation of the earliest stars and galaxies in the early universe, as well as the chemical, morphological, and dynamical evolution of galaxies and the development of stars and planetary systems. the goals have been expanded to encompass research into dark energy, dark matter, active galactic nuclei, exoplanets, and solar system objects. the near infrared camera, near infrared multi object spectrograph, and near infrared imager and slitless spectrograph will span the wavelength range 0.6 to s microns, while the mid infrared instrument will cover both imaging and spectroscopy from 5 to 28.5 microns. the james webb space telescope is an infrared observatory orbiting the sun about 1 million miles from earth to find the first galaxies that formed in the early universe and to see stars forming planetary systems launched in dec 25, 2021. . introduction. space is one place every kid dreamt about discovering and surfing into it, but our ideas and understanding was not fully enough to conquer it and reach further than the moon(earth). introducing, james webb space telescope which is an exploration powerhouse and an engineering marvel machine which led us to see beyond our imagination into deep space. it utilised to travel back in time to investigate the first galaxies that formed and to see into the atmospheres of planets orbiting stars. this is the largest and most complicated space telescope ever built. since human first time crossing the earth atmosphere in 1961, our technology and physis understanding helped us discover what seemed impossible, in which helped for the interplay between culture and technological innovation. and that will change our understating of the universe and our place in it. like how our solar system was formed or is there any different life beside us or are we just unique. pic.1 james webb telescope . body. to start with, it's useful to know what happened in the early universe, before the first stars formed, to better grasp what the webb telescope will research. the big bang created the cosmos, time, and space approximately 13.8 billion years ago. the universe was a hot, dense torrent of protons, electrons, and neutrons, the subatomic particles that make up atoms, for the first few hundred thousand years. as the cosmos cooled, protons and neutrons joined to form ionised hydrogen and helium, both of which had a positive charge and eventually attracted all the negatively charged electrons. this recombination process occurred between 240,000 and 300,000 years after the big bang. [1] previously, hubble space telescope was sent to space which was a massive new telescope to probe everything from weather to different planets around our solar system, then james webb telescope was created in which was six times the size of the latter. the importance of this massive telescope with culture and technological innovation is that the ability to discover more into space in which we can see and discover planets in far off galaxies. moreover, it said to help humankind to find the first galaxy that formed and the stars planetary system. in simpler words how our galaxy was formed and if other planets could support life. which make it important for our culture to keep expanding and knowing more about our surroundings. how it works. light or electromagnetic wave which have wavelength, frequency, and speed. to see ancient galaxies the webb telescope built for mid infrared wavelengths. since light leaving the galaxy can take billions of years to reach earth when we look at . dark e it, we can see the accelerated expansion afterglow light past. the cosmos pattern dark ages development of . 400,000 yrs. j galaxies, planets, etc. continues to expand when light from faraway objects travels to earth, as it has since the big bang. as the universe 1st stars expands, the about 400 million yrs. waves that make rete ryoho . 13.7 billi up light get ion years stretched. th is figure 1an illustrated timeline of the universe . means that for light from distant galaxies, the visible light waves you can see with your eyes are stretched out so far that the longer wavelengths shift from visible light to infrared. this effect is known as redshift, and the further away an object is, the more redshift it experiences. it works in two different method, first method is called transit method in which the telescope will analyse the pattern of dimming that happens which tells scientist a lot, second method is direct imagining a coronagraph is built into the webb telescope. a coronagraph, like how you may use your hand to block a bright light, prevents starlight from reaching telescope sensors, allowing a dark exoplanet orbiting a star to be viewed. [1] the way we developed and improved till we captured the amazing footage of the galaxy (pic 2), it all started with sending a satellite to the space for communication purposes which how making a phone call works. then to capturing every corner of our planet earth to give us some understanding for our existence and geography in it. till we reached this day to analyse different planets and stars in our galaxy and more to come. the cons from sending all this stuff to space is the space junk we leave behind of the stuff that failed to work in that environment, it goes under space junk and its downside that it just rooming in space endlessly and it might hit another satellite that is properly functioning that may cause an unexpected failure for the project which takes a lot of time and budget to construct. [2] so, it always been an important interface for technology and culture wise, that made us reach this level of development for a better future. to this day we have not discovered a different life or another liveable planet. but personally, with our technology development and studies we might see the day where we capture and announce something we all dreamt about. ve 7 ""�� ~ , pic2. sparkler galaxy . conclusion. in conclusion, the james webb telescope is one of the biggest human machines to go to space with a stunning results like shown in the picture below. the evolution of sending satellitia to a telescope that can capture planets and stars in our universe is enough to show that our technological development is going for the better and hopefully to better results. . figure 2 space captured by webb telescope . refernce. [1] lyle tavenier (2021) ,jet propulsion laboratory california institute of technology, learn about the universe with the james webb space telescope jpl.nasa.gov edu news 2021 9 30 learn about the universe with the james webb space telescope #jwst how) [2] jonathan o callagha (2015), natural history musem what is space junk and why is it a problem (https. https://protect-au.mimecast.com/s/yNH-CmO5wZsYRA7BhQbjyF?domain=nhm.ac.uk discover what is space junk and why is it a problem.html)"
26,72,1272,"mass transit for high density living and their limitation due to pandemics. . abstract in cities with high population density, public transportation is a must for travel. it connects the work, sports, learning and entertainment sectors between different regions. public transport guarantees diversity within the consistency of urban planning and gives people a sense of belonging to the city. the second is the affordable and diversified service facilities for most residents. the most important thing is to ease the sense of congestion in cities by prioritizing green transportation. to protect the environment to the greatest extent possible. because of the universal and regional characteristics of public transportation, many restrictions are imposed in the face of epidemics. to prevent the explosive spread of disease among people, it is sometimes necessary to suspend many transportation routes. the suspension of traffic lines has caused many people to have problems traveling, and various problems have emerged in society. in severe cases, it will lead to chaos in the city. in view of the raging spread of the covid 19 in recent years, this article makes some summaries from the first perspective of living in high density cities, especially how to adapt to the uncertain factors of epidemic transmission. . introduction the high concentration of urban people and logistics makes it possible to develop a large capacity public transportation system. the bus led transportation mode facilitates the organization of scattered traffic behaviors into more efficient group traffic behaviors, efficiently utilizes urban space resources, and reduces per capita resource consumption. and pollutant emissions. this is also an important performance that high density cities are better than low density cities. transit led urban development emphasizes the combination of transportation mode and land use and strengthens the integration between urban systems. it is a higher mode of urban spatial resource planning and has higher efficiency. mass rail transit can also support high intensity comprehensive urban development with rail stations as the core, gathering population and economic activities. common practices include arranging public activity and service centers in urban groups in combination with rail transit stations and arranging ""park and ride"" facilities and bus interchange hubs near rail stations. the covid 19 pandemic has significantly changed urban life. crowds moving freely have dropped to unprecedented low levels. working from home is the new normal and for those who can afford it, it s even the beginning of an alternative way of working. the fate of millions of small businesses and employees makes working in urban centers uncertain. urban areas are estimated to account for 90 percent of all reported covid 19 cases. urban areas have become the epicenter of the outbreak.[1] urban areas are particularly vulnerable to the spread of the virus because of their population size and their high levels of global and local connectivity. on the other hand, there is no evidence that density itself correlates with higher virus transmission rates. cities can respond to this crisis and become hubs of energy, resilience and innovation that have made them such dynamic and engaging places to live for many. but as this policy brief will show, this will require conscious policy choices, particularly in addressing inequalities, building local capacity, and enabling green, inclusive recovery. for many cities recently, the covid 19 health crisis has expanded into a crisis involving urban access, urban equity, urban finance and safety, unemployment, public services, infrastructure, and transportation, all of which disproportionately affect the most vulnerable groups in society. . body the coronavirus (covid 19) has had a profound and significant impact on our world. right now, many of us are feeling overwhelmed by the flood of news, data, and the immediate impact on the lives and livelihoods of people around the world about covid 19. but while the situation is still evolving, there has been plenty of talk about what scenarios might emerge after the pandemic. we can t change the events that have happened, what we need to do is how to adapt. in my opinion, there are three major goals. universal access, efficiency, and green mobility. universal access in the early days of the disease, public transport systems around the world had plummeted in ridership and revenue and were forced to cut services. this is an even more worrying trend considering that before the pandemic, only about half of the world s urban population had easy access to public transport. the trend of declining passenger numbers due to covid 19, if not stopped and reversed, could jeopardize the transition to safe and sustainable transportation for all and hinder efforts to combat climate change and air pollution. this short term chaos is unavoidable, leaving many of our actions online.[2] in the long run, this could be a revolution. while there is no way to move all social activities online, this has also accelerated the adoption of online tools.[3] this increases the possibility of virtual connectivity, which is undoubtedly a development trend in the future. efficiency the covid 19 crisis has greatly disrupted the reliability and efficiency of transportation networks, especially in the aviation sector. the world has been forced to become closed, and many channels of communication are lacking. everyone s work process has become slow. take international students as an example, we must take online classes at home, although the online class system is already very perfect. online learning is not as efficient as face to face classrooms. up to now, governments and schools have introduced many policies. many international routes have been restored to ensure that international students can attend classes at the school, which greatly improves the efficiency of students enthusiasm for learning. green mobility the most unexpected impact of the crisis is on the environment, where pollution in new york city is decrease nearly 50% from a year earlier.[4] due to the shutdown of public transportation and the reduction in road traffic due to the pandemic prevention and control measures. this situation illustrates the impact of transportation on the planet and reminds us that reducing the carbon footprint of the transportation industry is technically possible. even though widespread shutdown is neither desirable nor realistic over the long term, the crisis could provide more viable opportunities to transition toward green mobility. . the increased shift to telecommuting and e commerce, for instance, could durably change our habits and lead to an overall reduction in transport demand, with a direct impact on emissions. . conclusion the current pandemic is accelerating trends such as digitization, the transition to remote work, and the virtual delivery of essential services. this transition to digital living creates an uncertain future for urban infrastructure and buildings, as demand for office space and housing is likely to decline subsequently. urban segregation and immigration could also accelerate as those with higher incomes seek new ways to live and work outside cities in response to the pandemic. if associated with urban sprawl and rising inequalities in terms of income, race and gender, migration away from cities could hamper important efforts to achieve the sustainable development goals, protect biodiversity and address the climate crisis. there is an urgent need to rethink and transform cities to respond to the current reality of covid 19 and potential future pandemics, and to enable better recovery by building more resilient, inclusive, and sustainable cities. . reference list [1] un habitat, "" �opinion. covid 19 demonstrates urgent need for cities to prepare for pandemics""� (https. itat. opinion covid 19 demonstrates urgent need for cities to prepare for pandemics.) [2] telecommuting. a viable option for medical physicists amid the covid 19 outbreak and beyond. [j]. lincoln holly, khan rao. medical physics. 2020 (5) [3] planning for telecommuting measurement and policy issues [j]. susan l. handy, patricia l. mokhtarian. journal of the american planning association. 1995 (1) [4] bbc news""� coronavirus. air pollution and co2 fall rapidly as virus spreads.""� matt m. 19 march 2020"
25,23,1278,"mass transit for high density living and their limitation due to pandemics. bhavish dhanda macquarie university sydney australia department of computing and engineering macquarie university australia . contents contents 1 abstract 2 introduction 3 body 4 conclusion ina | . 1 abstract 3 1 abstract there is no doubt in the fact that the most recent coronavirus pandemic has completely transformed lives and changed our vision for the future. the change can be seen and felt across many activities we do in our day to day life. for e.g., from grocery shopping, to working, commuting and other activities. before this pandemic came into existence there has been a push for higher density transportation systems throughout the world. with the increasing cost of living and the opportunity of remote work people are moving further away from the cities. these factors have added to the need for a better transportation system to increase connectivity between places. accordingly, the paper will discuss the changes brought in our lives due to covid 19. and the way the governments over the world are working towards improved transit systems contradicts itself. . 2 introduction 4 2 introduction ever since the coronavirus pandemic hit the world, people have become more and more cautious about the ways they commute specifically in mass transit systems. during the peak of coronavirus in 2020 and 2021, in many cities of the world people due to lockdown activities and work from home, there was a massive drop in the number of people using public transport. this was in total contradiction to what the governments and employers over the world were expecting. public transportation system is the number one means of transporta tion for the day to day life and is used to move high density of population from one place to another. however, because of the same reason it became a breeding ground for the coronavirus. with sars in 2003 and the recent coronavirus, it serves as a lesson to prepare for any upcoming pandemic in the possible fu ture. researchers all over the world are trying to understand the impact of mass transit systems during pandemics where luo et all{1| for once tried to find the optimal ratio between people traveling on mass transit systems and the disease spreading to the minimum. similar work is done by yang et al{2| wherein they aim to see what major factors affects the spread of the disease and what the operators can do to reduce the spread. in this paper we will be taking the coronavirus as a reference to the pandemics and evaluate the importance and significance of mass transit systems as whole both for the economy and the masses using it. . 3 body 5 3 body the coronavirus pandemic started having its full impact on the mass populations in the first quarter of 2020. this was the time when cities across the globe went into lockdown and people were forced to stay at home. flights were getting cancelled, work from home was starting to kick in strong, mass transport saw a huge decline in the number of patrons they saw every day. as the days passed, it made people rethink about the life choices and also forced the employers to adopt a remote working scenario. however, offices were not the only institution and schools and universities were also forced to switch to online classes. luo et all{1| tried to understand the impact of the pandemic on the public transport system. they describe using public transport as a double edged sword wherein on one hand it is performing a major role in getting essential workers to the place of work. it is also saving the environment by reducing emissions. while, on the other hand it can become a major carrier of the disease. they model the population of the city with the number of people using the mass transit system and try to understand how the disease propagates in different situations to come up with an optimal value. similar work was done by yang et all{2] where they engage to find which factors are the most dominant when it comes to the propagation of the virus in a pandemic on public transit systems. they also worked to find what measures can the operators take to minimize this spread along with keeping the service up and running. with all of this happening, there were already major transportation projects taking shape across the globe. it was done to reduce travel time between cities and suburbs considering how the increasing living cost in the cities. a one big and close example would be the sydney metro|3] which is australia's ambitious transportation project since date with the sole purpose of increasing the capacity and making mass transportation more accessible to everyone. companies all over the world are also, setting up world class offices to encourage people back in the offices. a few such examples would be atlassian|4| and amp{5] which started development of their new offices before the pandemic in these hopes. with all these developments in progress, the pandemic kicked in and soon work from home was a mandate in almost every country. nevertheless, with the roll out of the vaccines things slowly started going back to normal. companies and governments saw this moment as an opportunity and en couraged people to move and spend as much as they could to stimulate the economy. companies gave perks to employees by coming to the office, started covering transportation costs and providing food. governments for instance like the new south wales government gave vouchers to residents|6] to encour age them to travel, go out and spend some money basically. this again started to push the limits for mass transportation systems. now in the post pandemic state, people started to come out of their places, they started travelling and everything is coming back to normal. now the pop ulation has accepted the fact it is the new normal. it is at this state that mass transit again becomes vital because first it is the cheaper alternative for everyone, second it is a great way to reduce environmental emissions making . 3 body 6 it sustainable for the environment. this shows us that public transport is ex tremely important in the post pandemic eras also in the long run extremely sustainable for the environment and the population both. . 4 conclusion "" �i 4 conclusion as we can see that mass transit no matter what the situation is, plays a vital role for the economy and its people. they help the community around them flourish further by increasing connectivity, and also making their area a better place to live in. furthermore, pandemics never last forever and with enough measures the impact could be brought down. hence, we will always face a state when mass transit is required, and with the increasing population in almost every part of the world, its demand is only going to increase. mass transit provides a cheap, environmentally friendly and good connectivity to its users. hence, it is important for governments to strive for a better means and increase the comfort of its passengers. . references 8 references [1] q. luo, m. gee, b. piccoli, d. work, and 8. samaranayake, "" �managing pub lic transit during a pandemic. the trade off between safety and mobility,""� transportation research part c. emerging technologies, vol. 138, p. 103592, 2022. |2) h. yang and y. m. nie, "" �optimizing operational strategies for mass transit systems in response to a global pandemic,""� transportation research part a. policy and practice, vol. 161, pp. 221 240, 2022. [3] "" �asydney metro ""�� australia's largest transportation project.""� [4| atlassian, "" �software development and collaboration tools.""� [5] "" �amp bank.""� [6] "" �nsw dine and discover.""�"
3,0,1368,"mass transit for high density living and their limitation due to pandemics. liam howlin september 2022 1 abstract high density living is an unavoidable effect of growing populations and rising housing costs. with this increase in high density living, an appropriate level of mass transit is necessary because common means of transport in lower density housing areas, such as automobiles are too space inefficient, emit too much emissions and too much noise to be suitable for higher density living. to address this, high density living areas often have access to railways, bus routes and shops and workplaces are often within walking distance. these modes of transport more efficiently address the issue of high density living but their short comings were displayed during the global covid 19 pandemic. wherein the space efficient nature of buses and railways were a negative due to the increased transmission of covid 19. 2 introduction reliance on mass transit is inevitable, therefore we must mitigate the trans mission of viral diseases through various means. today, the majority of australians use a private motor vehicle for their daily work commute and other travel needs. with, ""66% of people [travelling] to work in a private car""� and 21% using public transport, cycling or walking. [1] this high prevalence of private motor vehicles has increased dramatically since the 1950s with the advent of increasingly cheaper production motor vehicles, and mass immigration to australia, increasing urban sprawl and putting strain on public transport system. . in the future, this is again expected to change, with higher density hous ing becoming more prevalent, and the ever increasing costs of private motor vehicle ownership. this future increase in public transport could be inter preted as an unnecessary risk in the wake of the global covid 19 pandemic, but as i prove in this paper, it is the only way to address mass transit in cities with high density living, and we can effectively mitigate against transmission through various means. 3 discussion 3.1 why we need public transport with the ever increasing prevalence of high density housing public transport must be available to solve the problem of mass transit. there are many benefits for public transport over private motor vehicles. including the fact that public transportation such as rail and buses emit much less emissions, per passenger per kilometer than private motor vehicles. [8] it is also more space efficient, meaning that there are more space for other activities. examples of streets that have been revitalised through the removal of cars, include george st in sydney's cbd which has seen a huge increase in foot traffic, due to the increased space and reduced noise. [5] public transport is cheaper for users and for the government, usually be cause the cost is subsidised by the government, citation needed. furthermore, once the initial investment has been spent, constructing railways and other infrastructure necessary for a public transport system, the maintenance costs are much lower than compared to the maintenance costs of public roads. [10] this expenditure on road maintenance is expected to increase due to wors ening extreme weather conditions, such as floods and extreme heat, which will make increase environmental damages to roads and other infrastructure and increase wear and tear. [9] in addition to these financial and environmental incentives to an expan sive public transport network there are other less concrete aspects supporting public transport. public transport affords lower income individuals freedom of movement compared to car dependant infrastructure which can render lo cations inaccessible or dangerous to pedestrians. this increase freedom of movement in turn supports a happier population and greater social mobility. 5) . public transport is also safer for society than private automobiles, due to a variety of factors. firstly, private motor vehicles cause many traumatic deaths and injuries each year during car accidents. trains and buses are much safer in comparison, as trains are on tracks they are unlikely to collide with other objects and the odds of derailment are very low. {4] buses are similarly safer than cars despite the fact they share the road with other private vehicles, their large size and weight means minimal risk of injury to occupants in the event of a collision. [6] furthermore, an increase in public transport use and availability will have an associated reduction in emissions and an improvement in air quality which will improve health for the general population. a recent publication the lancet medical journal attributes 9 million deaths to pollution each year. {3} there are also worse health outcomes for those who spend a lot of time driving each day, with each additional hour spent in a car per day is associated with 6% increase in likelihood of obesity. [2] 3.2 shortcomings of public transport during pandemics some short comings of mass transport were demonstrated during the covid 19 pandemic which increased the rate of transmission. public transport solu tions like trains and buses usually pack people into many people into a tight space where in the air is recirculated. these factors lead to the increased rate of transmission of viral diseases, including covid 19. to combat this increased rate of transmission nsw transport authority introduced several measures. these measures include mandatory mask wear ing, lower total capacity and frequent sanitising of common areas. [7] despite the government's efforts there will still be passengers which refuse to wear masks and social distance nullifying some efforts. to further combat the transmission of covid 19 many governments around the world introduced lock downs, orders which barred non essential travel and encouraged people to work from home. these orders further re duce the number of occupants on public transport as many commuters can work from home. {11} the decision to work from home has not been popular with businesses that rent expensive office space in cities, and they have encouraged their employees to return to the office. this could have been used as an opportunity to reduce reliance on office space which are seemingly obsolete for many industries. the reduced need for office space could result in this space be re appropriated for . residential purposes, lowering costs in city centres, reducing urban sprawl and allowing people who do not have the ability to work from home to live closer to their place of work. 4 conlusion in conclusion mass transport and its short comings are an unavoidable effect of high density housing. without a comprehensive public transport scheme the number of private motor vehicles on the round would cause much greater levels of traffic congestion, noise and air pollution. this in turn will increase the rate of climate change, and worsen physical and mental health outcomes for the population. despite this increasing our vulnerability to viral diseases, with well maintained hygiene and stay at home practices we can mitigate the transmission. references (1) david c cosgrove. long term patterns of australian public transport use. 2011. (2) lawrence d frank, martin a andresen, and thomas l schmid. obesity relationships with community design, physical activity, and time spent in cars. american journal of preventive medicine, 27(2):87 96, 2004. richard fuller, philip j landrigan, kalpana balakrishnan, glynda bathan, stephan bose o'reilly, michael brauer, jack caravanos, tom chiles, aaron cohen, lilian corra, et al. pollution and health. a progress update. the lancet planetary health, 2022. geoff henley, james e harrison, et al. serious injury due to trans port accidents involving a railway train, australia, 2002 03 to 2006 07. number 54. australian institute of health and welfare, 2009. todd litman. evaluating public transit benefits and costs. victoria transport policy institute victoria, bc, canada, 2015. engineering national academies of sciences, medicine, et al. commer cial motor vehicle driver fatigue, long term health, and highway safety. research needs. national academies press, 2016. . 7| 8] transport for nsw. working to prevent the spread of coronavirus (covid 19). stephen potter. transport energy and emissions. urban public trans port. in handbook of transport and the environment, volume 4, pages 247 262. emerald group publishing limited, 2003. yaning qiao, andrew r dawson, tony parry, and gerardo w flintsch. evaluating the effects of climate change on road maintenance interven tion strategies and life cycle costs. transportation research part d. transport and environment, 41:492""��503, 2015. kenneth a small et al. road pricing and public transport. research in transportation economics, 9(1):133 158, 2004. joanna jj wang, thomas fung, and donald weatherburn. the impact of the covid 19, social distancing, and movement restrictions on crime in nsw, australia. crime science, 10(1):1""��14, 2021."
